semester,crn,full_number,number,title,seats_available,seats_total,location,day_of_week,start,end
Spring%202016,24837,ECON2020-S01,ECON2020,Applied Economics Analysis,975,999,Robinson Hall 301,T,46800,51600
Spring%202016,24831,ECON1720-S01,ECON1720,Corporate Finance,4,100,Wilson Hall 102,T,52200,57000
Spring%202016,24838,ECON2040-S01,ECON2040,Econometric Methods,975,999,Robinson Hall 301,T,32400,37200
Spring%202016,26101,ECON1765-S01,ECON1765,"Finance, Regulation, and the Economy: Research",3,30,Smith-Buonanno Hall G12,F,54000,63000
Spring%202016,24834,ECON1820-S01,ECON1820,Behavioral Economics,41,100,Wilson Hall 302,T,46800,51600
Spring%202016,24840,ECON2080-S01,ECON2080,Macroeconomics II,975,999,Robinson Hall 301,M,46800,51600
Spring%202016,26102,ECON2380-S01,ECON2380,The Economics of Children and Families,994,999,45 Prospect St-CorlissBrackett 006B,R,46800,55800
Spring%202016,26090,ECON2270-S01,ECON2270,Political Economy II,37,40,45 Prospect St-CorlissBrackett 006B,W,46800,55800
Spring%202016,25473,ECON2160-S01,ECON2160,"Risk, Uncertainty, and Information",38,40,45 Prospect St-CorlissBrackett 006B,F,34200,43200
Spring%202016,25483,ECON2530-S01,ECON2530,Behavioral and Experimental Economics,992,999,Robinson Hall 301,M,32400,37200
Spring%202016,25146,ECON2520-S01,ECON2520,Economic Development II,994,999,45 Prospect St-CorlissBrackett 006B,T,32400,37200
Spring%202016,25141,ECON2410-S01,ECON2410,Urbanization,37,40,Robinson Hall 301,F,34200,43200
Spring%202016,25472,ECON2470-S01,ECON2470,Industrial Organization,8,20,45 Prospect St-CorlissBrackett 006B,T,46800,55800
Spring%202016,25693,ECON2860-S01,ECON2860,Comparative Development,36,40,45 Prospect St-CorlissBrackett 006B,M,46800,55800
Spring%202016,25730,ECON2600-S01,ECON2600,Bayesian and Structural Econometrics,997,999,45 Prospect St-CorlissBrackett 006B,T,37800,42600
Spring%202016,25475,ECON2950-S01,ECON2950,Workshop in Econometrics,39,40,Robinson Hall 301,T,57600,63000
Spring%202016,25474,ECON2930-S01,ECON2930,Workshop in Applied Economics,30,40,Robinson Hall 301,R,57600,63000
Spring%202016,25151,ECON2890A-S01,ECON2890A,"Topics in Macroeconomics, Development and Trade",996,999,45 Prospect St-CorlissBrackett 006B,M,37800,42600
Spring%202016,25476,ECON2960-S01,ECON2960,Workshop in Macroeconomics and Related Topics,35,40,Robinson Hall 301,W,57600,63000
Spring%202016,25477,ECON2970-S01,ECON2970,Workshop in Economic Theory,39,40,Robinson Hall 301,M,57600,63000
Spring%202016,24222,COLT0510C-S01,COLT0510C,The World of Lyric Poetry,15,20,Marston Hall 209,T,32400,37200
Spring%202016,25773,COLT0610X-S01,COLT0610X,Convulsive Beauty: Hysteria and the Arts,6,30,Barus & Holley 153,M,43200,46200
Spring%202016,24815,COLT0812B-S01,COLT0812B,"What is Colonialism? - Archives, Texts and Images",986,999,Granoff Ctr for Creative Arts 220,T,52200,57000
Spring%202016,25611,COLT0812F-S01,COLT0812F,Exotic Encounters: Travel Literature in the Age of Exploration,996,999,101 Thayer Street (VGQ 1st fl) 116A,M,39600,42600
Spring%202016,25767,COLT0711F-S01,COLT0711F,Arabic Literature: The Qur'an to Darwish,7,20,Wilson Hall 204,T,57600,66600
Spring%202016,25176,COLT0710Z-S01,COLT0710Z,Comedy from Athens to Hollywood,948,999,Salomon Center 202,M,46800,49800
Spring%202016,24229,COLT1410L-S01,COLT1410L,Philosophy and Tragedy,978,999,J. Walter Wilson 303,T,37800,42600
Spring%202016,24986,COLT1421Q-S01,COLT1421Q,"Word and Image: Ekphrasis, the Iconic Narrative, and the Graphic Novel",979,999,101 Thayer Street (VGQ 1st fl) 116E,T,67200,72000
