date,temperature,wind speed,rain,snow
"5:51 PM EDT on April 09, 2015",3.9,20.4,0,0
"6:51 PM EDT on April 09, 2015",3.3,22.2,0,0
"7:51 PM EDT on April 09, 2015",3.3,20.4,0,0
"8:51 PM EDT on April 09, 2015",2.8,16.7,0,0
"9:51 PM EDT on April 09, 2015",2.8,14.8,0,0
"10:43 PM EDT on April 09, 2015",2.8,13.0,0,0
"10:51 PM EDT on April 09, 2015",2.8,13.0,0,0
"11:38 PM EDT on April 09, 2015",3.0,13.0,0,0
"11:51 PM EDT on April 09, 2015",2.8,14.8,0,0
"11:59 PM EDT on April 09, 2015",3.0,13.0,0,0
"12:51 AM EDT on April 10, 2015",2.8,11.1,0,0
"1:51 AM EDT on April 10, 2015",3.3,5.6,0,0
"2:37 AM EDT on April 10, 2015",3.3,7.4,0,0
"2:51 AM EDT on April 10, 2015",2.8,9.3,0,0
"3:28 AM EDT on April 10, 2015",2.8,7.4,0,0
"3:35 AM EDT on April 10, 2015",2.8,7.4,0,0
"3:51 AM EDT on April 10, 2015",2.8,9.3,0,0
"3:59 AM EDT on April 10, 2015",2.8,13.0,0,0
"4:13 AM EDT on April 10, 2015",2.8,5.6,0,0
"4:21 AM EDT on April 10, 2015",2.8,0.0,0,0
"4:51 AM EDT on April 10, 2015",3.3,5.6,0,0
"5:03 AM EDT on April 10, 2015",3.3,5.6,1,0
"5:23 AM EDT on April 10, 2015",3.3,5.6,0,0
"5:48 AM EDT on April 10, 2015",3.0,0.0,0,0
"5:51 AM EDT on April 10, 2015",3.3,0.0,0,0
"6:13 AM EDT on April 10, 2015",3.3,0.0,1,0
"6:51 AM EDT on April 10, 2015",3.3,7.4,0,0
"7:34 AM EDT on April 10, 2015",3.9,9.3,1,0
"7:51 AM EDT on April 10, 2015",3.9,0.0,1,0
"8:51 AM EDT on April 10, 2015",4.4,7.4,1,0
"9:00 AM EDT on April 10, 2015",4.4,9.3,0,0
"9:51 AM EDT on April 10, 2015",5.6,13.0,0,0
"10:51 AM EDT on April 10, 2015",6.1,9.3,0,0
"11:24 AM EDT on April 10, 2015",6.1,7.4,0,0
"11:32 AM EDT on April 10, 2015",6.1,7.4,0,0
"11:51 AM EDT on April 10, 2015",6.7,9.3,0,0
"12:06 PM EDT on April 10, 2015",6.7,7.4,0,0
"12:51 PM EDT on April 10, 2015",6.7,11.1,0,0
"1:51 PM EDT on April 10, 2015",6.7,11.1,0,0
"2:51 PM EDT on April 10, 2015",6.7,13.0,0,0
"3:51 PM EDT on April 10, 2015",7.2,11.1,0,0
"4:51 PM EDT on April 10, 2015",8.3,13.0,0,0
"5:43 PM EDT on April 10, 2015",9.4,7.4,0,0
"5:51 PM EDT on April 10, 2015",11.1,16.7,0,0
"6:05 PM EDT on April 10, 2015",12.2,16.7,0,0
"6:51 PM EDT on April 10, 2015",12.8,22.2,0,0
"7:51 PM EDT on April 10, 2015",12.2,14.8,0,0
"8:19 PM EDT on April 10, 2015",12.2,20.4,0,0
"8:51 PM EDT on April 10, 2015",12.2,18.5,0,0
"9:51 PM EDT on April 10, 2015",12.8,18.5,0,0
"10:09 PM EDT on April 10, 2015",12.2,20.4,0,0
"10:51 PM EDT on April 10, 2015",12.8,22.2,0,0
"11:51 PM EDT on April 10, 2015",12.2,11.1,0,0
"12:47 AM EDT on April 11, 2015",12.0,13.0,0,0
"12:51 AM EDT on April 11, 2015",12.2,5.6,0,0
"1:12 AM EDT on April 11, 2015",11.7,5.6,0,0
"1:41 AM EDT on April 11, 2015",10.6,5.6,0,0
"1:51 AM EDT on April 11, 2015",11.1,0.0,0,0
"2:51 AM EDT on April 11, 2015",10.6,9.3,0,0
"3:51 AM EDT on April 11, 2015",10.6,7.4,0,0
"4:51 AM EDT on April 11, 2015",10.0,14.8,0,0
"5:51 AM EDT on April 11, 2015",8.9,13.0,0,0
"6:51 AM EDT on April 11, 2015",8.3,11.1,0,0
"7:51 AM EDT on April 11, 2015",9.4,11.1,0,0
"8:51 AM EDT on April 11, 2015",11.7,20.4,0,0
"9:51 AM EDT on April 11, 2015",13.9,24.1,0,0
"10:51 AM EDT on April 11, 2015",13.9,35.2,0,0
"11:51 AM EDT on April 11, 2015",13.3,33.3,0,0
"12:51 PM EDT on April 11, 2015",13.9,29.6,0,0
"1:51 PM EDT on April 11, 2015",14.4,25.9,0,0
"2:51 PM EDT on April 11, 2015",14.4,31.5,0,0
"3:51 PM EDT on April 11, 2015",13.9,35.2,0,0
"4:51 PM EDT on April 11, 2015",13.3,29.6,0,0
"5:51 PM EDT on April 11, 2015",12.8,27.8,0,0
"6:51 PM EDT on April 11, 2015",10.6,20.4,0,0
"7:51 PM EDT on April 11, 2015",8.9,20.4,0,0
"8:51 PM EDT on April 11, 2015",7.8,22.2,0,0
"9:51 PM EDT on April 11, 2015",6.7,22.2,0,0
"10:51 PM EDT on April 11, 2015",5.6,14.8,0,0
"11:51 PM EDT on April 11, 2015",5.0,16.7,0,0
"12:51 AM EDT on April 12, 2015",4.4,13.0,0,0
"1:51 AM EDT on April 12, 2015",4.4,9.3,0,0
"2:51 AM EDT on April 12, 2015",5.0,13.0,0,0
"3:51 AM EDT on April 12, 2015",4.4,9.3,0,0
"4:51 AM EDT on April 12, 2015",5.6,13.0,0,0
"5:51 AM EDT on April 12, 2015",2.2,7.4,0,0
"6:51 AM EDT on April 12, 2015",1.7,11.1,0,0
"7:51 AM EDT on April 12, 2015",5.6,9.3,0,0
"8:51 AM EDT on April 12, 2015",9.4,9.3,0,0
"9:51 AM EDT on April 12, 2015",11.1,5.6,0,0
"10:51 AM EDT on April 12, 2015",-9999,-9999.0,0,0
"11:51 AM EDT on April 12, 2015",15.0,13.0,0,0
"12:51 PM EDT on April 12, 2015",14.4,22.2,0,0
"1:51 PM EDT on April 12, 2015",16.7,22.2,0,0
"2:51 PM EDT on April 12, 2015",16.7,24.1,0,0
"3:51 PM EDT on April 12, 2015",17.2,18.5,0,0
"4:51 PM EDT on April 12, 2015",17.8,25.9,0,0
"5:51 PM EDT on April 12, 2015",16.7,22.2,0,0
"6:51 PM EDT on April 12, 2015",15.6,22.2,0,0
"7:51 PM EDT on April 12, 2015",13.3,14.8,0,0
"8:51 PM EDT on April 12, 2015",12.2,14.8,0,0
"9:51 PM EDT on April 12, 2015",11.1,11.1,0,0
"11:51 PM EDT on April 12, 2015",8.3,5.6,0,0
"12:51 AM EDT on April 13, 2015",8.3,5.6,0,0
"1:51 AM EDT on April 13, 2015",6.1,5.6,0,0
"2:51 AM EDT on April 13, 2015",6.1,7.4,0,0
"4:51 AM EDT on April 13, 2015",3.3,9.3,0,0
"5:51 AM EDT on April 13, 2015",3.3,0.0,0,0
"6:51 AM EDT on April 13, 2015",3.9,7.4,0,0
"7:51 AM EDT on April 13, 2015",7.8,9.3,0,0
"8:51 AM EDT on April 13, 2015",10.0,11.1,0,0
"9:51 AM EDT on April 13, 2015",12.2,11.1,0,0
"10:51 AM EDT on April 13, 2015",15.0,18.5,0,0
"11:51 AM EDT on April 13, 2015",16.1,14.8,0,0
"12:51 PM EDT on April 13, 2015",15.6,22.2,0,0
"1:51 PM EDT on April 13, 2015",14.4,27.8,0,0
"2:51 PM EDT on April 13, 2015",18.9,29.6,0,0
"3:51 PM EDT on April 13, 2015",18.3,24.1,0,0
"4:51 PM EDT on April 13, 2015",17.2,27.8,0,0
"5:51 PM EDT on April 13, 2015",13.9,20.4,0,0
"6:51 PM EDT on April 13, 2015",14.4,22.2,0,0
"7:51 PM EDT on April 13, 2015",9.4,16.7,0,0
"8:51 PM EDT on April 13, 2015",8.9,11.1,0,0
"9:51 PM EDT on April 13, 2015",8.3,9.3,0,0
"10:51 PM EDT on April 13, 2015",8.9,11.1,0,0
"11:51 PM EDT on April 13, 2015",11.7,16.7,0,0
"12:51 AM EDT on April 14, 2015",12.2,18.5,0,0
"1:51 AM EDT on April 14, 2015",13.9,18.5,0,0
"2:51 AM EDT on April 14, 2015",12.8,22.2,0,0
"3:21 AM EDT on April 14, 2015",13.9,20.4,0,0
"3:51 AM EDT on April 14, 2015",13.9,24.1,0,0
"4:51 AM EDT on April 14, 2015",14.4,24.1,0,0
"5:00 AM EDT on April 14, 2015",13.9,18.5,0,0
"5:07 AM EDT on April 14, 2015",13.9,25.9,0,0
"5:51 AM EDT on April 14, 2015",14.4,18.5,0,0
"6:34 AM EDT on April 14, 2015",15.0,24.1,0,0
"6:47 AM EDT on April 14, 2015",15.0,24.1,0,0
