date,temperature,wind speed,rain,snow
6:51 PM April 15 2015,17.2,27.8,0,0
7:51 PM April 15 2015,16.1,18.5,0,0
8:51 AM April 16 2015,10.6,9.3,0,0
9:51 AM April 16 2015,11.7,7.4,0,0
10:51 AM April 16 2015,12.2,5.6,0,0
11:51 AM April 16 2015,13.3,9.3,0,0
12:51 PM April 16 2015,13.9,18.5,0,0
1:51 PM April 16 2015,13.9,22.2,0,0
2:51 PM April 16 2015,13.3,25.9,0,0
3:51 PM April 16 2015,13.3,27.8,0,0
4:51 PM April 16 2015,11.7,27.8,0,0
5:51 PM April 16 2015,10.6,24.1,0,0
6:51 PM April 16 2015,9.4,18.5,0,0
7:51 PM April 16 2015,8.3,11.1,0,0
8:51 AM April 17 2015,11.7,18.5,1,0
9:51 AM April 17 2015,12.8,25.9,0,0
10:51 AM April 17 2015,13.3,20.4,0,0
11:51 AM April 17 2015,13.3,20.4,0,0
12:51 PM April 17 2015,13.9,22.2,0,0
1:51 PM April 17 2015,14.4,24.1,0,0
2:49 PM April 17 2015,16.0,18.5,0,0
2:51 PM April 17 2015,16.1,20.4,0,0
3:51 PM April 17 2015,16.7,16.7,0,0
4:51 PM April 17 2015,16.7,14.8,0,0
5:51 PM April 17 2015,17.2,13.0,0,0
6:51 PM April 17 2015,17.2,9.3,0,0
7:51 PM April 17 2015,13.9,5.6,0,0
8:51 AM April 18 2015,14.4,0.0,0,0
9:51 AM April 18 2015,18.3,0.0,0,0
10:51 AM April 18 2015,20.6,13.0,0,0
11:51 AM April 18 2015,22.2,11.1,0,0
12:51 PM April 18 2015,22.8,7.4,0,0
1:18 PM April 18 2015,20.0,29.6,0,0
1:51 PM April 18 2015,20.0,24.1,0,0
2:51 PM April 18 2015,21.7,20.4,0,0
3:51 PM April 18 2015,23.9,27.8,0,0
4:51 PM April 18 2015,23.3,22.2,0,0
5:51 PM April 18 2015,22.2,27.8,0,0
6:51 PM April 18 2015,21.1,24.1,0,0
7:42 PM April 18 2015,16.7,31.5,0,0
7:51 PM April 18 2015,15.6,29.6,0,0
7:58 PM April 18 2015,15.6,29.6,0,0
8:51 AM April 19 2015,10.6,20.4,0,0
9:51 AM April 19 2015,11.1,16.7,0,0
10:51 AM April 19 2015,11.1,7.4,0,0
11:51 AM April 19 2015,12.8,5.6,0,0
12:51 PM April 19 2015,13.3,-9999.0,0,0
1:51 PM April 19 2015,13.3,11.1,0,0
2:51 PM April 19 2015,13.9,11.1,0,0
3:51 PM April 19 2015,13.3,29.6,0,0
4:51 PM April 19 2015,10.6,24.1,0,0
5:51 PM April 19 2015,10.0,25.9,0,0
6:51 PM April 19 2015,8.9,18.5,0,0
7:51 PM April 19 2015,7.2,20.4,0,0
8:30 AM April 20 2015,6.7,16.7,0,0
8:51 AM April 20 2015,6.7,13.0,0,0
9:51 AM April 20 2015,7.8,14.8,0,0
10:04 AM April 20 2015,7.8,14.8,0,0
10:51 AM April 20 2015,8.3,13.0,1,0
11:51 AM April 20 2015,9.4,25.9,1,0
12:51 PM April 20 2015,8.9,25.9,1,0
1:51 PM April 20 2015,9.4,27.8,1,0
2:04 PM April 20 2015,10.0,25.9,1,0
2:41 PM April 20 2015,10.0,20.4,1,0
2:51 PM April 20 2015,10.0,22.2,1,0
2:58 PM April 20 2015,10.0,20.4,1,0
3:06 PM April 20 2015,10.0,20.4,1,0
3:51 PM April 20 2015,10.6,22.2,1,0
4:10 PM April 20 2015,10.6,20.4,1,0
